tsne1,tsne2,cluster,cluster_name,track_name,artist,release_year,popularity,danceability,energy,valence,acousticness,loudness
-3.560297,8.193703,1,Acoustic and Mellow,Material Girl - Extended Dance Remix,['Madonna'],1984,39,0.735,0.74,0.964,0.208,-12.647
-5.828459,10.1533,1,Acoustic and Mellow,Into the Groove,"['Madonna', 'Shep Pettibone']",1987,40,0.799,0.638,0.823,0.033,-12.271
-2.9457045,-2.6903114,1,Acoustic and Mellow,"Vogue - 12"" Version",['Madonna'],1990,39,0.684,0.615,0.502,0.004,-15.083
0.75902915,-7.649424,0,Energetic and Danceable,Rain,['Madonna'],1992,52,0.592,0.642,0.16,0.088,-9.38
-0.25034523,5.2343636,1,Acoustic and Mellow,Where Life Begins,['Madonna'],1992,39,0.687,0.716,0.83,0.026,-10.745
-13.620639,-9.682854,2,Bold and Uplifting,You Must Love Me,['Madonna'],1996,40,0.357,0.161,0.267,0.926,-14.789
-7.36273,-9.499646,2,Bold and Uplifting,Frozen,['Madonna'],1998,63,0.602,0.616,0.31,0.662,-10.917
-0.25818554,-8.614745,0,Energetic and Danceable,The Power of Good-Bye,['Madonna'],1998,58,0.534,0.561,0.219,0.044,-11.089
5.241004,5.6149855,0,Energetic and Danceable,Ray of Light,['Madonna'],1998,60,0.561,0.909,0.71,0.001,-7.878
5.001497,-4.5862412,0,Energetic and Danceable,Nothing Really Matters,['Madonna'],1998,49,0.707,0.692,0.248,0.053,-6.937
-8.949879,-7.635647,2,Bold and Uplifting,Take a Bow,['Madonna'],2009,56,0.549,0.408,0.319,0.341,-7.698
6.52128,-4.69789,0,Energetic and Danceable,Deeper and Deeper,['Madonna'],1992,46,0.659,0.818,0.39,0.006,-7.09
-7.0829477,8.962521,1,Acoustic and Mellow,Physical Attraction,['Madonna'],1983,37,0.881,0.562,0.947,0.188,-13.091
9.007035,-1.8734807,3,Smooth and Sophisticated,Borderline,['Madonna'],2009,58,0.807,0.764,0.371,0.082,-5.186
-0.04792007,-6.318038,0,Energetic and Danceable,Erotica,['Madonna'],1992,41,0.639,0.676,0.231,0.001,-11.168
-11.573593,-9.460638,2,Bold and Uplifting,Drowned World / Substitute for Love,['Madonna'],1998,48,0.539,0.308,0.131,0.727,-12.101
5.4843903,-0.99039274,0,Energetic and Danceable,Girl Gone Wild,['Madonna'],2012,57,0.697,0.598,0.606,0.033,-5.883
8.057142,13.823809,3,Smooth and Sophisticated,Burning Up,['Madonna'],1983,35,0.869,0.738,0.988,0.028,-4.566
7.380423,15.296737,3,Smooth and Sophisticated,Physical Attraction,['Madonna'],1983,34,0.907,0.641,0.932,0.044,-7.694
-4.9887404,6.41683,1,Acoustic and Mellow,Stay,['Madonna'],1984,36,0.715,0.706,0.85,0.464,-12.249
-5.3520994,5.5175586,1,Acoustic and Mellow,White Heat,['Madonna'],1986,39,0.67,0.696,0.903,0.479,-15.278
-2.096462,6.30522,1,Acoustic and Mellow,Jimmy Jimmy,['Madonna'],1986,37,0.674,0.671,0.963,0.144,-11.075
-2.0202625,10.527264,1,Acoustic and Mellow,Love Makes the World Go Round,['Madonna'],1986,37,0.775,0.759,0.97,0.236,-9.502
-2.371539,5.3434415,1,Acoustic and Mellow,Till Death Do Us Part,['Madonna'],1989,37,0.615,0.783,0.977,0.112,-11.862
-6.2253475,-8.186681,0,Energetic and Danceable,Hanky Panky,['Madonna'],1990,41,0.637,0.626,0.485,0.419,-10.728
9.087594,-1.2740152,3,Smooth and Sophisticated,Die Another Day,['Madonna'],2003,55,0.792,0.797,0.491,0.062,-5.166
4.866628,-2.5516665,0,Energetic and Danceable,Hung Up - Radio Version,['Madonna'],2005,54,0.622,0.71,0.62,0.003,-6.825
-5.3058286,-9.144616,0,Energetic and Danceable,Frozen,['Madonna'],2009,55,0.591,0.736,0.29,0.511,-7.722
6.321955,8.545954,3,Smooth and Sophisticated,Celebration,['Madonna'],2009,55,0.637,0.891,0.933,0.074,-4.139
0.5267523,8.289285,1,Acoustic and Mellow,Cherish,['Madonna'],1990,41,0.678,0.783,0.802,0.328,-8.288
0.17299692,-6.177637,0,Energetic and Danceable,Erotica,['Madonna'],1992,43,0.639,0.676,0.231,0.001,-11.168
4.802268,11.851072,3,Smooth and Sophisticated,Material Girl,['Madonna'],2009,36,0.742,0.883,0.978,0.333,-3.419
7.3840594,-7.9043474,0,Energetic and Danceable,Like a Prayer,['Madonna'],2009,35,0.624,0.842,0.257,0.264,-5.285
8.548869,9.518515,3,Smooth and Sophisticated,4 Minutes (feat. Justin Timberlake & Timbaland),"['Madonna', 'Justin Timberlake', 'Timbaland']",2009,34,0.753,0.931,0.767,0.01,-4.922
7.9693813,12.3493395,3,Smooth and Sophisticated,Lucky Star - New Mix,['Madonna'],1983,33,0.801,0.722,0.907,0.068,-4.509
-7.287911,-10.302145,2,Bold and Uplifting,Shoo-Bee-Doo,['Madonna'],1984,36,0.608,0.588,0.483,0.689,-11.973
-3.3288763,8.819359,1,Acoustic and Mellow,Spotlight,"['Madonna', 'Jellybean Benitiz']",1987,36,0.736,0.714,0.97,0.141,-11.136
4.5297303,12.380848,3,Smooth and Sophisticated,Like a Virgin,['Madonna'],2009,53,0.775,0.8,0.96,0.365,-3.338
-6.5781426,-11.222416,2,Bold and Uplifting,Bedtime Story,['Madonna'],1994,42,0.712,0.612,0.526,0.831,-12.74
4.457257,-1.4523855,0,Energetic and Danceable,Hollywood,['Madonna'],2003,52,0.647,0.588,0.604,0.055,-7.519
8.345948,13.055021,3,Smooth and Sophisticated,Think of Me,['Madonna'],1983,34,0.832,0.724,0.89,0.03,-5.971
-3.6868289,11.324939,1,Acoustic and Mellow,"Burning Up - 12"" Version","['Madonna', 'John ""Jellybean"" Benitez']",1983,35,0.872,0.811,0.971,0.098,-11.483
-5.6581564,0.07795136,1,Acoustic and Mellow,I Know It,['Madonna'],1983,31,0.877,0.423,0.62,0.216,-12.084
-6.7505836,7.456731,1,Acoustic and Mellow,Pretender,['Madonna'],1984,35,0.843,0.635,0.843,0.444,-12.244
-4.7610598,4.141095,1,Acoustic and Mellow,The Look of Love,['Madonna'],1987,36,0.531,0.665,0.752,0.379,-14.231
0.34962937,1.1221498,1,Acoustic and Mellow,Can't Stop,['Madonna'],1987,31,0.737,0.798,0.586,0.027,-10.415
-2.2075524,8.2259,1,Acoustic and Mellow,Holiday,['Madonna'],1987,32,0.709,0.764,0.883,0.242,-10.948
-1.4021455,9.888134,1,Acoustic and Mellow,Over and Over - Extended Version,['Madonna'],1987,25,0.769,0.817,0.944,0.366,-10.768
7.380373,15.2967205,3,Smooth and Sophisticated,Physical Attraction,['Madonna'],1987,25,0.907,0.641,0.932,0.044,-7.694
-9.097431,-12.104271,2,Bold and Uplifting,Santa Baby,['Madonna'],1987,30,0.618,0.32,0.602,0.586,-12.977
-1.4443046,8.5079,1,Acoustic and Mellow,Keep It Together,['Madonna'],1989,38,0.719,0.819,0.794,0.231,-10.579
-7.038658,1.0785096,1,Acoustic and Mellow,Love Song,['Madonna'],1989,35,0.771,0.457,0.675,0.434,-12.277
-14.4971,-10.501845,2,Bold and Uplifting,Promise to Try,['Madonna'],1989,36,0.344,0.066,0.379,0.922,-21.976
-2.2118547,-6.28548,0,Energetic and Danceable,Act of Contrition,['Madonna'],1989,31,0.574,0.87,0.209,0.07,-15.162
0.59689385,-2.7694242,0,Energetic and Danceable,Rescue Me,['Madonna'],1990,39,0.725,0.652,0.355,0.02,-10.017
-12.304213,-10.032441,2,Bold and Uplifting,Sooner or Later,['Madonna'],1990,33,0.488,0.189,0.194,0.632,-14.479
-8.454759,-12.282493,2,Bold and Uplifting,Now I'm Following You (Part I),['Madonna'],1990,27,0.609,0.351,0.691,0.725,-12.451
-6.4051676,-8.967636,0,Energetic and Danceable,He's a Man,['Madonna'],1990,28,0.638,0.639,0.409,0.543,-9.675
-0.5729139,7.5895033,1,Acoustic and Mellow,I'm Going Bananas,['Madonna'],1990,27,0.666,0.659,0.921,0.325,-8.556
-3.2005134,-4.3640723,0,Energetic and Danceable,Vogue - Strike-A-Pose Dub,['Madonna'],1990,22,0.721,0.549,0.191,0.001,-17.095
-6.912779,-8.877889,2,Bold and Uplifting,Back in Business,['Madonna'],1990,27,0.559,0.622,0.424,0.521,-9.947
1.6362605,5.74331,3,Smooth and Sophisticated,Now I'm Following You (Pt. 2),['Madonna'],1990,25,0.686,0.817,0.782,0.058,-8.906
-9.764244,-13.861709,2,Bold and Uplifting,Cry Baby,['Madonna'],1990,26,0.836,0.144,0.571,0.804,-13.715
-8.812277,-11.419961,2,Bold and Uplifting,More,['Madonna'],1990,27,0.632,0.356,0.554,0.569,-10.683
-13.931729,-10.564324,2,Bold and Uplifting,What Can You Lose,['Madonna'],1990,26,0.427,0.127,0.255,0.967,-18.956
-1.0395001,-0.3755787,1,Acoustic and Mellow,Express Yourself - Shep's 'Spressin Himself Re-Remix,"['Madonna', 'Shep Pettibone']",1990,20,0.76,0.714,0.59,0.01,-11.93
-1.6462836,-5.6999373,0,Energetic and Danceable,Vogue - Bette Davis Dub,['Madonna'],1990,23,0.667,0.706,0.126,0.004,-14.302
-4.662697,-0.8841601,1,Acoustic and Mellow,Justify My Love - Hip Hop Mix,"['Madonna', 'Andre Betts']",1990,19,0.855,0.519,0.496,0.024,-13.12
1.5839019,7.6442814,3,Smooth and Sophisticated,Hanky Panky - Bare Bones Single Mix,"['Madonna', 'Kevin Gilbert']",1990,19,0.638,0.844,0.819,0.21,-7.975
2.4790285,6.869776,3,Smooth and Sophisticated,"Hanky Panky - Bare Bottom 12"" Mix","['Madonna', 'Kevin Gilbert']",1990,17,0.672,0.837,0.929,0.049,-8.43
-3.1185393,-1.4150788,1,Acoustic and Mellow,Justify My Love - Orbit Edit,"['Madonna', 'William Orbit']",1990,20,0.787,0.619,0.474,0.002,-13.473
-10.946949,-8.438923,2,Bold and Uplifting,Something to Remember,['Madonna'],1990,28,0.545,0.382,0.113,0.753,-8.851
