pc1,pc2,pc3,cluster,cluster_name,track_name,release_year,popularity,danceability,energy
1.9689753774776442,0.2990018574870577,0.3714597493061703,3,Smooth and Sophisticated,Lucky Star - New Mix,1983,33,0.801,0.722
-1.8541530606870313,0.4277143467827697,0.865974292562498,2,Bold and Uplifting,Shoo-Bee-Doo,1984,36,0.608,0.588
0.7495840252311277,1.1090932412261854,-0.13797158726988376,1,Acoustic and Mellow,Spotlight,1987,36,0.736,0.714
1.7958244964114263,0.5126344267817836,1.569763208000468,3,Smooth and Sophisticated,Like a Virgin,2009,53,0.775,0.8
-1.6847410775648106,1.2177329481120038,0.8058882058596154,2,Bold and Uplifting,Bedtime Story,1994,42,0.712,0.612
0.19380136703657755,-0.5592000455331588,-0.07809988167755065,0,Energetic and Danceable,Hollywood,2003,52,0.647,0.588
1.9385598896434062,0.5008836077183944,-0.08182754986358001,3,Smooth and Sophisticated,Think of Me,1983,34,0.832,0.724
1.5769630883460317,1.5181119330301132,-0.6837086854387815,1,Acoustic and Mellow,"Burning Up - 12"" Version",1983,35,0.872,0.811
-0.2768170227498262,1.3877506935656183,-1.415681472657101,1,Acoustic and Mellow,I Know It,1983,31,0.877,0.423
0.07307389685203083,1.8878845345381294,-0.18745948769774554,1,Acoustic and Mellow,Pretender,1984,35,0.843,0.635
-1.3199496726943214,0.5203365384980618,0.4429588513119886,1,Acoustic and Mellow,The Look of Love,1987,36,0.531,0.665
0.7638250117903499,-0.19137022525094968,-0.6758559383751461,1,Acoustic and Mellow,Can't Stop,1987,31,0.737,0.798
0.514339201791189,0.8452601248842408,0.21002819556703678,1,Acoustic and Mellow,Holiday,1987,32,0.709,0.764
0.7829769530211774,1.3274017475423254,0.4714516485493047,1,Acoustic and Mellow,Over and Over - Extended Version,1987,25,0.769,0.817
1.7893139150445314,1.2361494382034892,-0.6455207818371934,3,Smooth and Sophisticated,Physical Attraction,1987,25,0.907,0.641
-2.3648465380016663,1.0663584508985167,0.20834586515894943,2,Bold and Uplifting,Santa Baby,1987,30,0.618,0.32
0.6558174290888874,0.5370380750864225,0.1649569208876948,1,Acoustic and Mellow,Keep It Together,1989,38,0.719,0.819
-0.9246521901812579,1.391284103242195,-0.3811411526912348,1,Acoustic and Mellow,Love Song,1989,35,0.771,0.457
-6.2660605092587485,1.2938775820007582,0.1308642604310784,2,Bold and Uplifting,Promise to Try,1989,36,0.344,0.066
-0.9007816314880599,-1.232656547357601,-1.0339887795374194,0,Energetic and Danceable,Act of Contrition,1989,31,0.574,0.87
0.05332565026407676,-0.6899947345869938,-1.0547431576272108,0,Energetic and Danceable,Rescue Me,1990,39,0.725,0.652
-4.081993534987294,-0.05780708863921567,-0.07495459492055492,2,Bold and Uplifting,Sooner or Later,1990,33,0.488,0.189
-2.3640275481318973,1.3474952422477502,0.8238865060089198,2,Bold and Uplifting,Now I'm Following You (Part I),1990,27,0.609,0.351
-1.123858370461722,-0.18407807175430432,0.7063959018134304,0,Energetic and Danceable,He's a Man,1990,28,0.638,0.639
0.28377520466753264,0.7253019754991866,0.8549284204142873,1,Acoustic and Mellow,I'm Going Bananas,1990,27,0.666,0.659
