id,name,artists,cluster
0AyoRhB86c9VRL8OrCCNzg,Justify My Love - The Beast Within Mix,"['Madonna', 'Lenny Kravitz']",1
4ZMVDX8tavcJQeqH31qf13,Lucky Star - US ReMix Version,['Madonna'],1
3UPOaZ64ov0tKaidsTTlc0,Fever,['Madonna'],1
1uks0HXD87wJobv1BgWySW,Waiting,['Madonna'],1
2tySjBBWqam7oaBUZ26oNL,Bad Girl,['Madonna'],0
0g8pRR7OcNonUgQnbpUs5B,Thief of Hearts,['Madonna'],0
3ALhwNTl9iAuNuh15A3awH,Where Life Begins,['Madonna'],1
2Y7FJaEtJin7jdUafIqDkZ,Bye Bye Baby,['Madonna'],0
1KkTB8P48ReGWgEsDu3SYo,Words,['Madonna'],0
6YD308WeQENDTHpH7nQZp3,Why's It so Hard,['Madonna'],0
4UwKZrV4q2SYQiHQVLIrGc,In This Life,['Madonna'],0
0NaU4I4x6dGFBxaMoAFBow,Survival,['Madonna'],1
2KuNI576snW2Xlr1y8cMaW,Sky Fits Heaven,['Madonna'],0
3EdOkdjZAkSHfZJYPYJ78K,Skin,['Madonna'],0
1AQQ9DdpEemMVTHNz4eG9a,Get Together,['Madonna'],0
1dDNz8h95Gsu0W4QdxVVln,4 Minutes (feat. Justin Timberlake and Timbaland),"['Madonna', 'Justin Timberlake', 'Timbaland']",3
5Roo8xy0qjRppfwmSWWXQF,Deeper and Deeper,['Madonna'],0
0gVwAMrq7nXQNYz39n0C6L,Shanti / Ashtangi,['Madonna'],0
0koXhZM2nyHAJ6fmGWCprN,To Have and Not to Hold,['Madonna'],2
02cPdommxoqVdx2QeAJRJm,Everybody - Original Version,['Madonna'],3
2HZ1D2dAWN8MYVBXX9Ezrk,Another Suitcase in Another Hall,['Madonna'],2
1yfmUYrqjMCICcOnHhriFt,Amazing,['Madonna'],0
0Kn7x5iCYCPBZdpOx55nnX,Bye Bye Baby,['Madonna'],0
15s020BUq1jO7wIxtfKuOu,Masterpiece,['Madonna'],0
6BWRvw630R8z2vNMok6quI,Justify My Love,['Madonna'],0
2bZMOs3RjmhhGca6MEzjyl,Bitch I'm Madonna,"['Madonna', 'Nicki Minaj']",0
0jKVG8nTcH5ZVLwjW1tVbr,Like a Prayer,['Madonna'],0
7F2b4lHBr8V7JzNbN1ipCe,Material Girl,['Madonna'],3
1lQ6ECmQng0DzeVi9DRPLP,4 Minutes (feat. Justin Timberlake & Timbaland),"['Madonna', 'Justin Timberlake', 'Timbaland']",3
1PvLJI3WNUiMMIRLkcY9x3,Into the Groove,['Madonna'],3
1ZORCOAGbFmB8X9p918CFP,Holiday,['Madonna'],3
0SCvwi1W1KY2zsN7ZvS8AF,Borderline,['Madonna'],3
4ohEI9gzIH5mSK6R6aUssT,What It Feels Like for a Girl,['Madonna'],0
3YqJlngd0Bx4zsqWkkaGSa,Sorry,['Madonna'],0
5OWUKkLu9nesbbD0bLwcRL,Miles Away,['Madonna'],3
0NeZ8Bhhu3Vt5qCKLdvxpw,4 Minutes (feat. Justin Timberlake and Timbaland),"['Madonna', 'Justin Timberlake', 'Timbaland']",3
0QXtw4rDLQtpzqPS4uJbZJ,Give Me All Your Luvin',"['Madonna', 'Nicki Minaj', 'M.I.A.']",3
7JQEe7DigVkZEB0TwyKSm0,Take a Bow,['Madonna'],2
7CU88LgrMsY2FgNzTlg4vI,Fever,['Madonna'],1
5NDS6qHwbOmVqZgTvtC66y,Love Profusion,['Madonna'],1
2BcOZ4vOeu2qZowIHrvTYy,Music,['Madonna'],3
3TXakfjtRwGXdQ6P3Lpi6t,Buenos Aires,['Madonna'],3
0XXvv9AZ62nHtMDKK4lHlr,Oh What a Circus,"['Antonio Banderas', 'Madonna']",2
3WtuDsoDKMd9w6YiookYHC,"High Flying, Adored","['Antonio Banderas', 'Madonna']",2
6mReqk8kBcxkCtlnO4hDcA,Goodnight and Thank You,"['Antonio Banderas', 'Madonna']",2
5EozWxc0G7mMAHgQdGDlHm,Swim,['Madonna'],2
2htJSx3C0xF5CxMEjtZaXD,Rain,['Madonna'],0
3DlRZM6zKSlAZigHbJQ3cp,Beautiful Stranger,['Madonna'],0
7Jeih4TEqBbfzxI1UN5b51,I'd Be Surprisingly Good for You,"['Madonna', 'Jonathan Pryce']",2
4jV0e7eqsxFUAZA92SITMz,Live to Tell,['Madonna'],2
6azuUrqGJq5DVPtI0BFhgK,The Power of Good-Bye,['Madonna'],0
6eB4UdPtmFYzT8JEhKj5tt,Don't Stop,"['Madonna', 'Daniel Abraham']",3
6ds1A1qkYXpXOc4GWw4hVO,I'll Remember (Theme from the Motion Picture With Honors),['Madonna'],1
1jXrKzaC31hU2Z4Eaec2ek,Rain,['Madonna'],0
