id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,cluster,hdbscan_cluster
5npMYgysWSKOIVXj2szeLn,Vogue - Edit,54,289560,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-03-22,0.69,0.817,10,-10.137,0,0.0478,0.0109,0.00276,0.103,0.285,116.211,4,1990,0,-1
5CxiVaZ6VzP8XVJ8vcBY40,Into the Groove - Edit,51,249800,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.686,0.714,5,-9.533,0,0.0385,0.0237,0.0012,0.066,0.706,116.6,4,1990,1,7
4cUSgvW6wlxqzzxE3P4voV,Holiday,48,245773,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.816,0.65,11,-9.576,0,0.0497,0.0145,0.0105,0.103,0.723,117.551,4,1990,1,-1
22VWmcVQrYqHT4exHD6mMF,Like a Virgin,48,191133,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.806,0.637,1,-7.876,1,0.0385,0.246,0.00102,0.0842,0.962,119.564,4,1990,1,-1
4osrEm2iY3QcTUcQuFUtfW,Live to Tell,46,318773,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.627,0.363,5,-12.368,1,0.026,0.104,3.52e-06,0.127,0.259,110.07,4,1990,0,-1
0e1VL3FZmkgjKQ7wNmIHNc,Material Girl,46,233440,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.734,0.853,0,-7.697,1,0.0353,0.113,0.00011,0.0464,0.977,134.523,4,1990,3,7
14p4jbULrRxZvnSt4NDSEs,Like a Prayer,45,351560,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.705,0.693,0,-10.122,1,0.0455,0.018,1.21e-06,0.441,0.444,111.872,4,1990,0,7
6NBGabiAuQklrfkufcOqlN,Justify My Love,45,302840,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.698,0.662,1,-12.58,1,0.111,0.00213,0.703,0.047,0.503,99.661,4,1990,0,-1
0WeATn9QzAPOyR53O3VDTJ,Borderline - Remix,45,317933,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.776,0.772,7,-10.352,1,0.039,0.333,0.000703,0.0829,0.498,119.465,4,1990,1,-1
5g7xZ7eoCpNt4Zm2UbE2U5,La Isla Bonita - Remix,44,227973,0,"['Madonna', 'Chris Lord-Alge']","['6tbjWDEIzxoDsBA1FuhfPW', '1zRwW2z5JOtEgK5OESwlgx']",1990-11-09,0.648,0.66,1,-10.841,0,0.0348,0.101,0.0,0.0717,0.89,100.021,4,1990,1,7
