id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,cluster,hdbscan_cluster
02cPdommxoqVdx2QeAJRJm,Everybody - Original Version,30,362387,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.921,0.782,9,-4.998,0,0.039,0.0205,0.000894,0.0437,0.616,119.982,4,1983,3,-1
7F2b4lHBr8V7JzNbN1ipCe,Material Girl,39,240280,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,4,2009,3,4
1lQ6ECmQng0DzeVi9DRPLP,4 Minutes (feat. Justin Timberlake & Timbaland),38,189693,0,"['Madonna', 'Justin Timberlake', 'Timbaland']","['6tbjWDEIzxoDsBA1FuhfPW', '31TPClRtHm23RisEBtV3X7', '5Y5TRrQiqgUO4S36tzjIRZ']",2009-09-18,0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.767,113.029,4,2009,3,2
1PvLJI3WNUiMMIRLkcY9x3,Into the Groove,32,285093,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.729,0.856,10,-4.164,0,0.035,0.0658,0.00832,0.0691,0.804,116.467,4,2009,3,2
1ZORCOAGbFmB8X9p918CFP,Holiday,30,368280,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.854,0.796,11,-5.567,0,0.0399,0.0542,0.00184,0.151,0.946,115.625,4,2009,3,3
0SCvwi1W1KY2zsN7ZvS8AF,Borderline,25,238360,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.807,0.764,2,-5.186,1,0.0312,0.082,3.87e-05,0.115,0.371,119.867,4,2009,3,-1
5OWUKkLu9nesbbD0bLwcRL,Miles Away,48,288920,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2008-04-19,0.782,0.71,0,-4.394,1,0.0382,0.0447,0.0,0.095,0.762,115.995,4,2008,3,3
0NeZ8Bhhu3Vt5qCKLdvxpw,4 Minutes (feat. Justin Timberlake and Timbaland),49,245080,0,"['Madonna', 'Justin Timberlake', 'Timbaland']","['6tbjWDEIzxoDsBA1FuhfPW', '31TPClRtHm23RisEBtV3X7', '5Y5TRrQiqgUO4S36tzjIRZ']",2008-04-19,0.705,0.911,2,-4.873,1,0.0717,0.00592,0.00154,0.0603,0.803,113.032,4,2008,3,2
0QXtw4rDLQtpzqPS4uJbZJ,Give Me All Your Luvin',53,202760,0,"['Madonna', 'Nicki Minaj', 'M.I.A.']","['6tbjWDEIzxoDsBA1FuhfPW', '0hCNtLu0JehylgoiP8L4Gh', '0QJIPDAEDILuo8AIq3pMuU']",2012-01-01,0.68,0.885,11,-4.345,1,0.0382,0.00563,0.000756,0.379,0.877,144.998,4,2012,3,2
2BcOZ4vOeu2qZowIHrvTYy,Music,48,225973,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2000-09-19,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,4,2000,3,7
3TXakfjtRwGXdQ6P3Lpi6t,Buenos Aires,38,249133,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1996-10-25,0.772,0.805,5,-8.363,0,0.0848,0.116,0.000349,0.0759,0.657,122.95,4,1996,3,-1
6eB4UdPtmFYzT8JEhKj5tt,Don't Stop,36,278133,0,"['Madonna', 'Daniel Abraham']","['6tbjWDEIzxoDsBA1FuhfPW', '2MxRuu6aDaHC5wBVDN1LLV']",1994-10-25,0.733,0.789,4,-7.95,0,0.0584,0.00227,0.000622,0.0618,0.622,94.858,4,1994,3,7
